CNN,streetname,from_st,to_st,addrange,limits,from_cnn,to_cnn
7427000,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,750 - 799,GILROY ST to GRIFFITH ST (750 - 799),20010000,20435000
7245000,INGERSON AVE,GIANTS DR,GILROY ST,700 - 749,GIANTS DR to GILROY ST (700 - 749),20011000,20101000
6171000,GIANTS DR,INGERSON AVE,GILMAN AVE,450 - 499,INGERSON AVE to GILMAN AVE (450 - 499),20011000,20097000
15107000,GILROY ST,IGNACIO AVE,GILROY ST,34 - 99,IGNACIO AVE to GILROY ST (34 - 99),20013000,51652000
4898000,DONAHUE ST,CLEO RAND AVE,JERROLD AVE,200 - 299,CLEO RAND AVE to JERROLD AVE (200 - 299),20034000,33121000
9706000,JERROLD AVE,EARL ST,DORMITORY RD \ NORTHRIDGE RD,700 - 799,EARL ST to DORMITORY RD \ NORTHRIDGE RD (700 - 799),20039000,20044000
7253000,INNES AVE,EARL ST,ARELIOUS WALKER DR,700 - 799,EARL ST to ARELIOUS WALKER DR (700 - 799),20041000,20056000
9707000,NORTHRIDGE RD,DORMITORY RD \ JERROLD AVE,HARBOR RD,Jan-99,DORMITORY RD \ JERROLD AVE to HARBOR RD (1 - 99),20044000,20060000
4937000,DORMITORY RD,JERROLD AVE \ NORTHRIDGE RD,KIRKWOOD AVE \ KISKA RD,Jan-99,JERROLD AVE \ NORTHRIDGE RD to KIRKWOOD AVE \ KISKA RD (1 - 99),20044000,20046000
4938000,KISKA RD,DORMITORY RD \ KIRKWOOD AVE,REARDON RD,141 - 199,DORMITORY RD \ KIRKWOOD AVE to REARDON RD (141 - 199),20046000,20058000
5595000,FITZGERALD AVE,DONAHUE ST,EARL ST,700 - 799,DONAHUE ST to EARL ST (700 - 799),20051000,33223000
4893000,DONAHUE ST,FITZGERALD AVE,GILMAN AVE,50 - 99,FITZGERALD AVE to GILMAN AVE (50 - 99),20051000,33226000
7254000,INNES AVE,ARELIOUS WALKER DR,GRIFFITH ST,800 - 899,ARELIOUS WALKER DR to GRIFFITH ST (800 - 899),20056000,20163000
5581000,ARELIOUS WALKER DR,INNES AVE,END: 300-399 BLOCK,300 - 399,INNES AVE to END: 300-399 BLOCK (300 - 399),20056000,50763000
7066000,HUDSON AVE,ARELIOUS WALKER DR,HUDSON AVE,800 - 899,ARELIOUS WALKER DR to HUDSON AVE (800 - 899),20057000,51855000
5580000,ARELIOUS WALKER DR,HUDSON AVE,INNES AVE,250 - 299,HUDSON AVE to INNES AVE (250 - 299),20057000,20056000
7901000,KISKA RD,REARDON RD,INGALLS ST,1 - 140,REARDON RD to INGALLS ST (1 - 140),20058000,20077000
10948000,REARDON RD,KISKA RD,END: 1-99 BLOCK,Jan-99,KISKA RD to END: 1-99 BLOCK (1 - 99),20058000,50770000
6671000,HARBOR RD,NORTHRIDGE RD,INGALLS ST,1 - 299,NORTHRIDGE RD to INGALLS ST (1 - 299),20060000,20061000
9708000,NORTHRIDGE RD,HARBOR RD,INGALLS ST \ ROSIE LEE LN,100 - 199,HARBOR RD to INGALLS ST \ ROSIE LEE LN (100 - 199),20060000,20078000
6672000,HARBOR RD,INGALLS ST,BERTHA LN,300 - 399,INGALLS ST to BERTHA LN (300 - 399),20061000,20086000
7217000,INGALLS ST,HARBOR RD,HUDSON AVE,1050 - 1099,HARBOR RD to HUDSON AVE (1050 - 1099),20061000,20085000
2697000,BALDWIN CT,OAKDALE AVE,END: 1-99 BLOCK,Jan-99,OAKDALE AVE to END: 1-99 BLOCK (1 - 99),20064000,50768000
9782000,OAKDALE AVE,BALDWIN CT,INGALLS ST,1100 - 1199,BALDWIN CT to INGALLS ST (1100 - 1199),20064000,20131000
9781000,OAKDALE AVE,GRIFFITH ST,BALDWIN CT,1000 - 1099,GRIFFITH ST to BALDWIN CT (1000 - 1099),20065000,20064000
6537000,GRIFFITH ST,OAKDALE AVE,CRISP RD,1100 - 1189,OAKDALE AVE to CRISP RD (1100 - 1189),20065000,33127000
6536001,GRIFFITH ST,LA SALLE AVE \ NAVY RD,OAKDALE AVE,1000 - 1070,LA SALLE AVE \ NAVY RD to OAKDALE AVE (1000 - 1070),20066000,35068000
6536000,GRIFFITH ST,LA SALLE AVE \ NAVY RD,OAKDALE AVE,1000 - 1099,LA SALLE AVE \ NAVY RD to OAKDALE AVE (1000 - 1099),20066000,20065000
9522000,NAVY RD,GRIFFITH ST \ LA SALLE AVE,END: 1000-1099 BLOCK,Jan-99,GRIFFITH ST \ LA SALLE AVE to END: 1000-1099 BLOCK (1 - 99),20066000,50769000
10972000,REVERE AVE,GRIFFITH ST,CRISP RD,1100 - 1188,GRIFFITH ST to CRISP RD (1100 - 1188),20067000,20076000
6541000,GRIFFITH ST,REVERE AVE,SHAFTER AVE,1400 - 1499,REVERE AVE to SHAFTER AVE (1400 - 1499),20067000,20116000
12569000,THOMAS AVE,GRIFFITH ST,HAWES ST,1100 - 1199,GRIFFITH ST to HAWES ST (1100 - 1199),20070000,20121000
10217000,PALOU AVE,CRISP RD,HAWES ST,1026 - 1099,CRISP RD to HAWES ST (1026 - 1099),20072000,20118000
4532000,CRISP RD,PALOU AVE,QUESADA AVE,100 - 199,PALOU AVE to QUESADA AVE (100 - 199),20072000,20074000
10216000,PALOU AVE,GRIFFITH ST,CRISP RD,1000 - 1025,GRIFFITH ST to CRISP RD (1000 - 1025),20073000,20072000
6539000,GRIFFITH ST,PALOU AVE,QUESADA AVE,1200 - 1299,PALOU AVE to QUESADA AVE (1200 - 1299),20073000,20075000
10810000,QUESADA AVE,CRISP RD,HAWES ST,1170 - 1199,CRISP RD to HAWES ST (1170 - 1199),20074000,20117000
4533000,CRISP RD,QUESADA AVE,REVERE AVE,200 - 299,QUESADA AVE to REVERE AVE (200 - 299),20074000,20076000
6540000,GRIFFITH ST,QUESADA AVE,REVERE AVE,1300 - 1399,QUESADA AVE to REVERE AVE (1300 - 1399),20075000,20067000
10809000,QUESADA AVE,GRIFFITH ST,CRISP RD,1100 - 1189,GRIFFITH ST to CRISP RD (1100 - 1189),20075000,20074000
10973000,REVERE AVE,CRISP RD,HAWES ST,1183 - 1199,CRISP RD to HAWES ST (1183 - 1199),20076000,20120000
7220000,INGALLS ST,KISKA RD,BEATRICE LN,1200 - 1249,KISKA RD to BEATRICE LN (1200 - 1249),20077000,20081000
11162000,ROSIE LEE LN,INGALLS ST \ NORTHRIDGE RD,ESPANOLA ST,9-Jan,INGALLS ST \ NORTHRIDGE RD to ESPANOLA ST (1 - 9),20078000,20084000
7219000,INGALLS ST,NORTHRIDGE RD \ ROSIE LEE LN,KISKA RD,1150 - 1199,NORTHRIDGE RD \ ROSIE LEE LN to KISKA RD (1150 - 1199),20078000,20077000
7221000,INGALLS ST,BEATRICE LN,LA SALLE AVE,1250 - 1299,BEATRICE LN to LA SALLE AVE (1250 - 1299),20081000,20126000
2869000,BEATRICE LN,INGALLS ST,ESPANOLA ST,19-Jan,INGALLS ST to ESPANOLA ST (1 - 19),20081000,20082000
5257000,ESPANOLA ST,BEATRICE LN,MATTHEW CT,Jan-49,BEATRICE LN to MATTHEW CT (1 - 49),20082000,20083000
2870000,BEATRICE LN,ESPANOLA ST,LILLIAN ST,20 - 75,ESPANOLA ST to LILLIAN ST (20 - 75),20082000,20089000
8869000,MATTHEW CT,ESPANOLA ST,END: 1-25 BLOCK,25-Jan,ESPANOLA ST to END: 1-25 BLOCK (1 - 25),20083000,50773000
5258000,ESPANOLA ST,MATTHEW CT,ROSIE LEE LN,50 - 99,MATTHEW CT to ROSIE LEE LN (50 - 99),20083000,20084000
11163000,ROSIE LEE LN,ESPANOLA ST,LILLIAN ST,Oct-49,ESPANOLA ST to LILLIAN ST (10 - 49),20084000,20090000
7070000,HUDSON AVE,INGALLS ST,BERTHA LN,1100 - 1110,INGALLS ST to BERTHA LN (1100 - 1110),20085000,20087000
7218000,INGALLS ST,HUDSON AVE,NORTHRIDGE RD \ ROSIE LEE LN,1100 - 1149,HUDSON AVE to NORTHRIDGE RD \ ROSIE LEE LN (1100 - 1149),20085000,20078000
2958000,BERTHA LN,HARBOR RD,HUDSON AVE,1 - 150,HARBOR RD to HUDSON AVE (1 - 150),20086000,20087000
7071001,HUDSON AVE,BERTHA LN,WILLIE B KENNEDY DR,1111 - 1195,BERTHA LN to WILLIE B KENNEDY DR (1111 - 1195),20087000,34015000
8333000,LILLIAN ST,BEATRICE LN,ROSIE LEE LN,Jan-99,BEATRICE LN to ROSIE LEE LN (1 - 99),20089000,20090000
2871000,BEATRICE LN,LILLIAN ST,END: 76-99 BLOCK,76 - 99,LILLIAN ST to END: 76-99 BLOCK (76 - 99),20089000,50774000
11164000,ROSIE LEE LN,LILLIAN ST,END: 50-99 BLOCK,50 - 99,LILLIAN ST to END: 50-99 BLOCK (50 - 99),20090000,50772000
15204000,EGBERT AVE,ARELIOUS WALKER DR,MID BLOCK,1100 - 1149,ARELIOUS WALKER DR to MID BLOCK (1100 - 1149),20092000,35065000
5588000,ARELIOUS WALKER DR,EGBERT AVE,FITZGERALD AVE,2700 - 2799,EGBERT AVE to FITZGERALD AVE (2700 - 2799),20092000,33220000
3734000,CARROLL AVE,GRIFFITH ST,HAWES ST,1201 - 1299,GRIFFITH ST to HAWES ST (1201 - 1299),20093000,20110000
6188000,GILMAN AVE,GRIFFITH ST,HAWES ST,1000 - 1099,GRIFFITH ST to HAWES ST (1000 - 1099),20096000,20438000
6187000,GILMAN AVE,GIANTS DR,GRIFFITH ST,951 - 999,GIANTS DR to GRIFFITH ST (951 - 999),20097000,20096000
7246000,INGERSON AVE,GILROY ST,GRIFFITH ST,750 - 799,GILROY ST to GRIFFITH ST (750 - 799),20101000,20103000
6192000,GILROY ST,INGERSON AVE,IGNACIO AVE,Jan-39,INGERSON AVE to IGNACIO AVE (1 - 39),20101000,20013000
7248000,INGERSON AVE,CORONADO ST,HAWES ST,850 - 899,CORONADO ST to HAWES ST (850 - 899),20102000,20439000
4413000,CORONADO ST,INGERSON AVE,JAMESTOWN AVE,Jan-99,INGERSON AVE to JAMESTOWN AVE (1 - 99),20102000,20434000
6548000,GRIFFITH ST,INGERSON AVE,JAMESTOWN AVE,2900 - 2999,INGERSON AVE to JAMESTOWN AVE (2900 - 2999),20103000,20435000
7247000,INGERSON AVE,GRIFFITH ST,CORONADO ST,800 - 849,GRIFFITH ST to CORONADO ST (800 - 849),20103000,20102000
6802000,HAWES ST,FITZGERALD AVE,GILMAN AVE,2600 - 2699,FITZGERALD AVE to GILMAN AVE (2600 - 2699),20107000,20438000
5599000,FITZGERALD AVE,HAWES ST,INGALLS ST,1100 - 1199,HAWES ST to INGALLS ST (1100 - 1199),20107000,20448000
6799000,HAWES ST,CARROLL AVE,DONNER AVE,2100 - 2199,CARROLL AVE to DONNER AVE (2100 - 2199),20110000,20111000
3735000,CARROLL AVE,HAWES ST,INGALLS ST,1300 - 1399,HAWES ST to INGALLS ST (1300 - 1399),20110000,20450000
4907000,DONNER AVE,HAWES ST,INGALLS ST,1300 - 1399,HAWES ST to INGALLS ST (1300 - 1399),20111000,20449000
6800000,HAWES ST,DONNER AVE,EGBERT AVE,2400 - 2499,DONNER AVE to EGBERT AVE (2400 - 2499),20111000,51651000
6797000,HAWES ST,ARMSTRONG AVE,BANCROFT AVE,1900 - 1999,ARMSTRONG AVE to BANCROFT AVE (1900 - 1999),20112000,28193000
2458000,ARMSTRONG AVE,HAWES ST,INGALLS ST,1300 - 1399,HAWES ST to INGALLS ST (1300 - 1399),20112000,20113000
7234000,INGALLS ST,ARMSTRONG AVE,BANCROFT AVE,2400 - 2499,ARMSTRONG AVE to BANCROFT AVE (2400 - 2499),20113000,20114000
2459000,ARMSTRONG AVE,INGALLS ST,JENNINGS ST,1400 - 1499,INGALLS ST to JENNINGS ST (1400 - 1499),20113000,20481000
7235000,INGALLS ST,BANCROFT AVE,CARROLL AVE,2500 - 2599,BANCROFT AVE to CARROLL AVE (2500 - 2599),20114000,20450000
2709000,BANCROFT AVE,INGALLS ST,JENNINGS ST,1400 - 1499,INGALLS ST to JENNINGS ST (1400 - 1499),20114000,20451000
11782000,SHAFTER AVE,GRIFFITH ST,HAWES ST,1100 - 1199,GRIFFITH ST to HAWES ST (1100 - 1199),20116000,20119000
6542000,GRIFFITH ST,SHAFTER AVE,THOMAS AVE,1500 - 1599,SHAFTER AVE to THOMAS AVE (1500 - 1599),20116000,20070000
10811000,QUESADA AVE,HAWES ST,INGALLS ST,1200 - 1299,HAWES ST to INGALLS ST (1200 - 1299),20117000,20135000
6790000,HAWES ST,QUESADA AVE,REVERE AVE,1300 - 1399,QUESADA AVE to REVERE AVE (1300 - 1399),20117000,20120000
6789000,HAWES ST,PALOU AVE,QUESADA AVE,1200 - 1299,PALOU AVE to QUESADA AVE (1200 - 1299),20118000,20117000
10218000,PALOU AVE,HAWES ST,INGALLS ST,1100 - 1199,HAWES ST to INGALLS ST (1100 - 1199),20118000,20136000
11783000,SHAFTER AVE,HAWES ST,INGALLS ST,1200 - 1299,HAWES ST to INGALLS ST (1200 - 1299),20119000,20124000
6792000,HAWES ST,SHAFTER AVE,THOMAS AVE,1500 - 1599,SHAFTER AVE to THOMAS AVE (1500 - 1599),20119000,20121000
6791000,HAWES ST,REVERE AVE,SHAFTER AVE,1400 - 1499,REVERE AVE to SHAFTER AVE (1400 - 1499),20120000,20119000
10974000,REVERE AVE,HAWES ST,INGALLS ST,1200 - 1299,HAWES ST to INGALLS ST (1200 - 1299),20120000,20125000
12570000,THOMAS AVE,HAWES ST,INGALLS ST,1200 - 1299,HAWES ST to INGALLS ST (1200 - 1299),20121000,20146000
6793000,HAWES ST,THOMAS AVE,UNDERWOOD AVE,1600 - 1699,THOMAS AVE to UNDERWOOD AVE (1600 - 1699),20121000,20123000
6795000,HAWES ST,VAN DYKE AVE,WALLACE AVE,1750 - 1799,VAN DYKE AVE to WALLACE AVE (1750 - 1799),20122000,33165000
13138000,VAN DYKE AVE,HAWES ST,INGALLS ST,1200 - 1299,HAWES ST to INGALLS ST (1200 - 1299),20122000,20144000
12826000,UNDERWOOD AVE,HAWES ST,INGALLS ST,1200 - 1299,HAWES ST to INGALLS ST (1200 - 1299),20123000,20145000
6794000,HAWES ST,UNDERWOOD AVE,VAN DYKE AVE,1700 - 1749,UNDERWOOD AVE to VAN DYKE AVE (1700 - 1749),20123000,20122000
11784000,SHAFTER AVE,INGALLS ST,JENNINGS ST,1300 - 1399,INGALLS ST to JENNINGS ST (1300 - 1399),20124000,20155000
7228000,INGALLS ST,SHAFTER AVE,THOMAS AVE,1800 - 1899,SHAFTER AVE to THOMAS AVE (1800 - 1899),20124000,20146000
10975000,REVERE AVE,INGALLS ST,JENNINGS ST,1300 - 1399,INGALLS ST to JENNINGS ST (1300 - 1399),20125000,20154000
7227000,INGALLS ST,REVERE AVE,SHAFTER AVE,1700 - 1799,REVERE AVE to SHAFTER AVE (1700 - 1799),20125000,20124000
7926000,LA SALLE AVE,INGALLS ST,WHITFIELD CT,1100 - 1148,INGALLS ST to WHITFIELD CT (1100 - 1148),20126000,20128000
7222000,INGALLS ST,LA SALLE AVE,GEORGE CT,1300 - 1349,LA SALLE AVE to GEORGE CT (1300 - 1349),20126000,20127000
6162000,GEORGE CT,INGALLS ST,END: 1-42 BLOCK,Jan-99,INGALLS ST to END: 1-42 BLOCK (1 - 99),20127000,50767000
7223000,INGALLS ST,GEORGE CT,OAKDALE AVE,1350 - 1399,GEORGE CT to OAKDALE AVE (1350 - 1399),20127000,20131000
13606000,WHITFIELD CT,LA SALLE AVE,END: 1-99 BLOCK,Jan-99,LA SALLE AVE to END: 1-99 BLOCK (1 - 99),20128000,50765000
7927000,LA SALLE AVE,WHITFIELD CT,OSCEOLA LN,1149 - 1198,WHITFIELD CT to OSCEOLA LN (1149 - 1198),20128000,20132000
7224000,INGALLS ST,OAKDALE AVE,PALOU AVE,1400 - 1499,OAKDALE AVE to PALOU AVE (1400 - 1499),20131000,20136000
9783000,OAKDALE AVE,INGALLS ST,END: 1200-1299 BLOCK,1200 - 1299,INGALLS ST to END: 1200-1299 BLOCK (1200 - 1299),20131000,50766000
7928000,LA SALLE AVE,OSCEOLA LN,OSCEOLA LN,1200 - 1299,OSCEOLA LN to OSCEOLA LN (1200 - 1299),20132000,33144000
10042000,OSCEOLA LN,LA SALLE AVE,LA SALLE AVE,Jan-99,LA SALLE AVE to LA SALLE AVE (1 - 99),20132000,33144000
10812000,QUESADA AVE,INGALLS ST,JENNINGS ST,1300 - 1399,INGALLS ST to JENNINGS ST (1300 - 1399),20135000,20153000
7226000,INGALLS ST,QUESADA AVE,REVERE AVE,1600 - 1699,QUESADA AVE to REVERE AVE (1600 - 1699),20135000,20125000
7225000,INGALLS ST,PALOU AVE,QUESADA AVE,1500 - 1599,PALOU AVE to QUESADA AVE (1500 - 1599),20136000,20135000
10219000,PALOU AVE,INGALLS ST,JENNINGS ST,1200 - 1299,INGALLS ST to JENNINGS ST (1200 - 1299),20136000,20140000
6016201,GARLINGTON CT,LA SALLE AVE,COMMER CT,Feb-98,LA SALLE AVE to COMMER CT (2 - 98) -- EAST --,20137000,20138000
6016101,GARLINGTON CT,LA SALLE AVE,COMMER CT,Jan-99,LA SALLE AVE to COMMER CT (1 - 99) -- WEST --,20137000,20138000
7930000,LA SALLE AVE,GARLINGTON CT,NEWCOMB AVE,1349 - 1398,GARLINGTON CT to NEWCOMB AVE (1349 - 1398),20137000,20196000
6017101,GARLINGTON CT,COMMER CT,GARLINGTON CT,101 - 199,COMMER CT to GARLINGTON CT (101 - 199) -- WEST --,20138000,50775000
6017201,GARLINGTON CT,COMMER CT,GARLINGTON CT,100 - 198,COMMER CT to GARLINGTON CT (100 - 198) -- EAST --,20138000,50775000
10220000,PALOU AVE,JENNINGS ST,KEITH ST,1300 - 1399,JENNINGS ST to KEITH ST (1300 - 1399),20140000,20157000
7473000,JENNINGS ST,PALOU AVE,QUESADA AVE,1500 - 1599,PALOU AVE to QUESADA AVE (1500 - 1599),20140000,20153000
7232000,INGALLS ST,WALLACE AVE,YOSEMITE AVE,2200 - 2299,WALLACE AVE to YOSEMITE AVE (2200 - 2299),20142000,20148000
13355000,WALLACE AVE,INGALLS ST,JENNINGS ST,1400 - 1499,INGALLS ST to JENNINGS ST (1400 - 1499),20142000,20152000
13139000,VAN DYKE AVE,INGALLS ST,JENNINGS ST,1300 - 1399,INGALLS ST to JENNINGS ST (1300 - 1399),20144000,20151000
7231000,INGALLS ST,VAN DYKE AVE,WALLACE AVE,2100 - 2199,VAN DYKE AVE to WALLACE AVE (2100 - 2199),20144000,20142000
12827000,UNDERWOOD AVE,INGALLS ST,JENNINGS ST,1300 - 1399,INGALLS ST to JENNINGS ST (1300 - 1399),20145000,20149000
7230000,INGALLS ST,UNDERWOOD AVE,VAN DYKE AVE,2000 - 2099,UNDERWOOD AVE to VAN DYKE AVE (2000 - 2099),20145000,20144000
12571000,THOMAS AVE,INGALLS ST,JENNINGS ST,1300 - 1399,INGALLS ST to JENNINGS ST (1300 - 1399),20146000,20150000
7229000,INGALLS ST,THOMAS AVE,UNDERWOOD AVE,1900 - 1999,THOMAS AVE to UNDERWOOD AVE (1900 - 1999),20146000,20145000
13780000,YOSEMITE AVE,INGALLS ST,JENNINGS ST,1400 - 1499,INGALLS ST to JENNINGS ST (1400 - 1499),20148000,20482000
7233000,INGALLS ST,YOSEMITE AVE,ARMSTRONG AVE,2300 - 2399,YOSEMITE AVE to ARMSTRONG AVE (2300 - 2399),20148000,20113000
12828000,UNDERWOOD AVE,JENNINGS ST,KEITH ST,1400 - 1499,JENNINGS ST to KEITH ST (1400 - 1499),20149000,20484000
7478000,JENNINGS ST,UNDERWOOD AVE,VAN DYKE AVE,2000 - 2099,UNDERWOOD AVE to VAN DYKE AVE (2000 - 2099),20149000,20151000
7477000,JENNINGS ST,THOMAS AVE,UNDERWOOD AVE,1900 - 1999,THOMAS AVE to UNDERWOOD AVE (1900 - 1999),20150000,20149000
12572000,THOMAS AVE,JENNINGS ST,KEITH ST,1400 - 1499,JENNINGS ST to KEITH ST (1400 - 1499),20150000,20160000
13140000,VAN DYKE AVE,JENNINGS ST,KEITH ST,1400 - 1499,JENNINGS ST to KEITH ST (1400 - 1499),20151000,20483000
7479000,JENNINGS ST,VAN DYKE AVE,WALLACE AVE,2100 - 2199,VAN DYKE AVE to WALLACE AVE (2100 - 2199),20151000,20152000
7480000,JENNINGS ST,WALLACE AVE,YOSEMITE AVE,2200 - 2299,WALLACE AVE to YOSEMITE AVE (2200 - 2299),20152000,20482000
13356000,WALLACE AVE,JENNINGS ST,KEITH ST,1500 - 1599,JENNINGS ST to KEITH ST (1500 - 1599),20152000,20486000
10813000,QUESADA AVE,JENNINGS ST,KEITH ST,1400 - 1499,JENNINGS ST to KEITH ST (1400 - 1499),20153000,20161000
7474000,JENNINGS ST,QUESADA AVE,REVERE AVE,1600 - 1699,QUESADA AVE to REVERE AVE (1600 - 1699),20153000,20154000
7475000,JENNINGS ST,REVERE AVE,SHAFTER AVE,1700 - 1799,REVERE AVE to SHAFTER AVE (1700 - 1799),20154000,20155000
10976000,REVERE AVE,JENNINGS ST,KEITH ST,1400 - 1499,JENNINGS ST to KEITH ST (1400 - 1499),20154000,20159000
7476000,JENNINGS ST,SHAFTER AVE,THOMAS AVE,1800 - 1899,SHAFTER AVE to THOMAS AVE (1800 - 1899),20155000,20150000
11785000,SHAFTER AVE,JENNINGS ST,KEITH ST,1400 - 1499,JENNINGS ST to KEITH ST (1400 - 1499),20155000,20158000
7782000,KEITH ST,OAKDALE AVE,PALOU AVE,1400 - 1499,OAKDALE AVE to PALOU AVE (1400 - 1499),20156000,20157000
9785000,OAKDALE AVE,KEITH ST,LANE ST,1400 - 1499,KEITH ST to LANE ST (1400 - 1499),20156000,20209000
10221000,PALOU AVE,KEITH ST,LANE ST,1400 - 1499,KEITH ST to LANE ST (1400 - 1499),20157000,20210000
7783000,KEITH ST,PALOU AVE,QUESADA AVE,1500 - 1599,PALOU AVE to QUESADA AVE (1500 - 1599),20157000,20161000
11786000,SHAFTER AVE,KEITH ST,LANE ST,1500 - 1599,KEITH ST to LANE ST (1500 - 1599),20158000,20501000
7786000,KEITH ST,SHAFTER AVE,THOMAS AVE,1800 - 1899,SHAFTER AVE to THOMAS AVE (1800 - 1899),20158000,20160000
10977000,REVERE AVE,KEITH ST,LANE ST,1500 - 1599,KEITH ST to LANE ST (1500 - 1599),20159000,20499000
7785000,KEITH ST,REVERE AVE,SHAFTER AVE,1700 - 1799,REVERE AVE to SHAFTER AVE (1700 - 1799),20159000,20158000
12573000,THOMAS AVE,KEITH ST,LANE ST,1500 - 1599,KEITH ST to LANE ST (1500 - 1599),20160000,20503000
7787000,KEITH ST,THOMAS AVE,UNDERWOOD AVE,1900 - 1999,THOMAS AVE to UNDERWOOD AVE (1900 - 1999),20160000,20484000
7784000,KEITH ST,QUESADA AVE,REVERE AVE,1600 - 1699,QUESADA AVE to REVERE AVE (1600 - 1699),20161000,20159000
10814000,QUESADA AVE,KEITH ST,LANE ST,1500 - 1599,KEITH ST to LANE ST (1500 - 1599),20161000,20497000
7257000,INNES AVE,HAWES ST,MARIST CT,1000 - 1010,HAWES ST to MARIST CT (1000 - 1010),20162000,51642000
7255000,INNES AVE,GRIFFITH ST,HUNTERS POINT BLVD,808 - 948,GRIFFITH ST to HUNTERS POINT BLVD (808 - 948),20163000,33138000
6788000,HAWES ST,HUDSON AVE \ HUNTERS POINT BLVD,INNES AVE,400 - 499,HUDSON AVE \ HUNTERS POINT BLVD to INNES AVE (400 - 499),20164000,20162000
7068000,HUDSON AVE,HAWES ST \ HUNTERS POINT BLVD,END: BLOCK,1000 - 1099,HAWES ST \ HUNTERS POINT BLVD to END: BLOCK (1000 - 1099),20164000,50755000
7094000,HUNTERS POINT BLVD,HAWES ST \ HUDSON AVE,GALVEZ AVE,100 - 199,HAWES ST \ HUDSON AVE to GALVEZ AVE (100 - 199),20164000,33136000
9015000,MIDDLE POINT RD,HARE ST,INGALLS ST \ INNES AVE,200 - 299,HARE ST to INGALLS ST \ INNES AVE (200 - 299),20168000,20175000
9014000,MIDDLE POINT RD,FAIRFAX AVE,HARE ST,100 - 199,FAIRFAX AVE to HARE ST (100 - 199),20170000,20168000
15212000,FAIRFAX AVE,MIDDLE POINT RD,IRONWOOD WAY,800 - 899,MIDDLE POINT RD to IRONWOOD WAY (800 - 899),20170000,35070000
9013000,MIDDLE POINT RD,CATALINA ST,FAIRFAX AVE,40 - 99,CATALINA ST to FAIRFAX AVE (40 - 99),20172000,20170000
15148000,CATALINA ST,MIDDLE POINT RD,IRONWOOD WAY,100 - 199,MIDDLE POINT RD to IRONWOOD WAY (100 - 199),20172000,35018000
7216000,INGALLS ST,INNES AVE \ MIDDLE POINT RD,HARBOR RD,1000 - 1049,INNES AVE \ MIDDLE POINT RD to HARBOR RD (1000 - 1049),20175000,20061000
9011000,MIDDLE POINT RD,EVANS AVE \ JENNINGS ST,ACACIA AVE,29-Jan,EVANS AVE \ JENNINGS ST to ACACIA AVE (1 - 29),20177000,20180000
5330101,EVANS AVE,JENNINGS ST \ MIDDLE POINT RD,KEITH ST,1101 - 1199,JENNINGS ST \ MIDDLE POINT RD to KEITH ST (1101 - 1199) -- SOUTH --,20177000,20181000
5330201,EVANS AVE,JENNINGS ST \ MIDDLE POINT RD,KEITH ST,1100 - 1198,JENNINGS ST \ MIDDLE POINT RD to KEITH ST (1100 - 1198) -- NORTH --,20177000,20181000
9561000,NEWHALL ST,JENNINGS ST,END: 1-99 BLOCK,Jan-99,JENNINGS ST to END: 1-99 BLOCK (1 - 99),20178000,50750000
7471000,JENNINGS ST,NEWHALL ST,EVANS AVE \ MIDDLE POINT RD,200 - 399,NEWHALL ST to EVANS AVE \ MIDDLE POINT RD (200 - 399),20178000,20177000
9012000,MIDDLE POINT RD,ACACIA AVE,CATALINA ST,30 - 39,ACACIA AVE to CATALINA ST (30 - 39),20180000,20172000
15150000,ACACIA AVE,MIDDLE POINT RD,IRONWOOD WAY,100 - 199,MIDDLE POINT RD to IRONWOOD WAY (100 - 199),20180000,35019000
5331201,EVANS AVE,KEITH ST,MENDELL ST,1200 - 1398,KEITH ST to MENDELL ST (1200 - 1398) -- NORTH --,20181000,20203000
7777000,KEITH ST,EVANS AVE,FAIRFAX AVE,300 - 401,EVANS AVE to FAIRFAX AVE (300 - 401),20181000,20182000
5331101,EVANS AVE,KEITH ST,MENDELL ST,1201 - 1399,KEITH ST to MENDELL ST (1201 - 1399) -- SOUTH --,20181000,20203000
5390000,FAIRFAX AVE,KEITH ST,LANE ST,1200 - 1299,KEITH ST to LANE ST (1200 - 1299),20182000,33118000
7778000,KEITH ST,FAIRFAX AVE,BOWMAN CT,400 - 449,FAIRFAX AVE to BOWMAN CT (400 - 449),20182000,33275000
7073000,HUDSON AVE,ARDATH CT \ HAWKINS LN,WESTBROOK CT,1300 - 1320,ARDATH CT \ HAWKINS LN to WESTBROOK CT (1300 - 1320),20185000,20189000
6806000,HAWKINS LN,ARDATH CT \ HUDSON AVE,HAWKINS LN,12-Jan,ARDATH CT \ HUDSON AVE to HAWKINS LN (1 - 12),20185000,51647000
2403000,ARDATH CT,HAWKINS LN \ HUDSON AVE,END: 1-99 BLOCK,Jan-99,HAWKINS LN \ HUDSON AVE to END: 1-99 BLOCK (1 - 99),20185000,50781000
7072000,HUDSON AVE,WHITNEY YOUNG CIR,ARDATH CT \ HAWKINS LN,1200 - 1299,WHITNEY YOUNG CIR to ARDATH CT \ HAWKINS LN (1200 - 1299),20188000,20185000
13619000,WHITNEY YOUNG CIR,HUDSON AVE,PROGRESS ST,Jan-64,HUDSON AVE to PROGRESS ST (1 - 64),20188000,33143000
