CNN,streetname,from_st,to_st,addrange,limits,from_cnn,to_cnn
3165000,BROADWAY,CYRUS PL,HYDE ST,1212 - 1298,CYRUS PL to HYDE ST (1212 - 1298) -- NORTH --,25290000,25292000
4573000,CYRUS PL,BROADWAY,BROADWAY,0 - 0,BROADWAY to BROADWAY (0 - 0),25290000,30723000
7134000,HYDE ST,BROADWAY,VALLEJO ST,1700 - 1799,BROADWAY to VALLEJO ST (1700 - 1799),25292000,25286000
3168000,BROADWAY,HYDE ST,LARKIN ST \ ROBERT C LEVY TUNL,1300 - 1399,HYDE ST to LARKIN ST \ ROBERT C LEVY TUNL (1300 - 1399) -- NORTH --,25292000,25308000
3167000,BROADWAY,HYDE ST,MORRELL PL,1301 - 1349,HYDE ST to MORRELL PL (1301 - 1349) -- SOUTH --,25292000,30720000
8141000,LARKIN ST,CALIFORNIA ST,SACRAMENTO ST,1400 - 1499,CALIFORNIA ST to SACRAMENTO ST (1400 - 1499),25294000,25296000
3548000,CALIFORNIA ST,LARKIN ST,POLK ST,1500 - 1599,LARKIN ST to POLK ST (1500 - 1599),25294000,25221000
11247000,SACRAMENTO ST,LARKIN ST,POLK ST,1600 - 1699,LARKIN ST to POLK ST (1600 - 1699),25296000,25301000
8142000,LARKIN ST,SACRAMENTO ST,CLAY ST,1500 - 1599,SACRAMENTO ST to CLAY ST (1500 - 1599),25296000,25297000
8143000,LARKIN ST,CLAY ST,WASHINGTON ST,1600 - 1699,CLAY ST to WASHINGTON ST (1600 - 1699),25297000,25299000
4105000,CLAY ST,LARKIN ST,POLK ST,1600 - 1699,LARKIN ST to POLK ST (1600 - 1699),25297000,25302000
13431000,WASHINGTON ST,LARKIN ST,POLK ST,1600 - 1699,LARKIN ST to POLK ST (1600 - 1699),25299000,25303000
8144000,LARKIN ST,WASHINGTON ST,JACKSON ST,1700 - 1799,WASHINGTON ST to JACKSON ST (1700 - 1799),25299000,25300000
7395000,JACKSON ST,LARKIN ST,POLK ST,1500 - 1599,LARKIN ST to POLK ST (1500 - 1599),25300000,25304000
8145000,LARKIN ST,JACKSON ST,PACIFIC AVE,1800 - 1899,JACKSON ST to PACIFIC AVE (1800 - 1899),25300000,25305000
10571000,POLK ST,SACRAMENTO ST,CLAY ST,1600 - 1699,SACRAMENTO ST to CLAY ST (1600 - 1699),25301000,25302000
11248000,SACRAMENTO ST,POLK ST,VAN NESS AVE,1700 - 1799,POLK ST to VAN NESS AVE (1700 - 1799),25301000,26536000
10572000,POLK ST,CLAY ST,WASHINGTON ST,1700 - 1799,CLAY ST to WASHINGTON ST (1700 - 1799),25302000,25303000
4106000,CLAY ST,POLK ST,VAN NESS AVE,1700 - 1799,POLK ST to VAN NESS AVE (1700 - 1799),25302000,26535000
10573000,POLK ST,WASHINGTON ST,JACKSON ST,1800 - 1899,WASHINGTON ST to JACKSON ST (1800 - 1899),25303000,25304000
13432000,WASHINGTON ST,POLK ST,VAN NESS AVE,1700 - 1799,POLK ST to VAN NESS AVE (1700 - 1799),25303000,26540000
10574000,POLK ST,JACKSON ST,PACIFIC AVE,1900 - 1999,JACKSON ST to PACIFIC AVE (1900 - 1999),25304000,25316000
7396000,JACKSON ST,POLK ST,VAN NESS AVE,1600 - 1699,POLK ST to VAN NESS AVE (1600 - 1699),25304000,26541000
8146000,LARKIN ST,PACIFIC AVE,BROADWAY \ ROBERT C LEVY TUNL,1900 - 1999,PACIFIC AVE to BROADWAY \ ROBERT C LEVY TUNL (1900 - 1999),25305000,25308000
10146000,PACIFIC AVE,LARKIN ST,POLK ST,1500 - 1599,LARKIN ST to POLK ST (1500 - 1599),25305000,25316000
10145000,PACIFIC AVE,MCCORMICK ST \ MORRELL PL,LARKIN ST,1450 - 1499,MCCORMICK ST \ MORRELL PL to LARKIN ST (1450 - 1499),25306000,25305000
9380000,MORRELL PL,MCCORMICK ST \ PACIFIC AVE,BROADWAY,Jan-99,MCCORMICK ST \ PACIFIC AVE to BROADWAY (1 - 99),25306000,30720000
8147000,LARKIN ST,BROADWAY \ ROBERT C LEVY TUNL,VALLEJO ST,2000 - 2099,BROADWAY \ ROBERT C LEVY TUNL to VALLEJO ST (2000 - 2099),25308000,25312000
