CNN,street1,street2,street3,street4,street5
20010000,JAMESTOWN AVE,GILROY ST,,,
20011000,INGERSON AVE,GIANTS DR,,,
20013000,IGNACIO AVE,GILROY ST,,,
20034000,DONAHUE ST,CLEO RAND AVE,,,
20039000,JERROLD AVE,EARL ST,,,
20041000,INNES AVE,EARL ST,,,
20044000,NORTHRIDGE RD,DORMITORY RD,JERROLD AVE,,
20046000,KISKA RD,DORMITORY RD,KIRKWOOD AVE,,
20051000,FITZGERALD AVE,DONAHUE ST,,,
20056000,INNES AVE,ARELIOUS WALKER DR,,,
20057000,HUDSON AVE,ARELIOUS WALKER DR,,,
20058000,REARDON RD,KISKA RD,,,
20060000,NORTHRIDGE RD,HARBOR RD,,,
20061000,INGALLS ST,HARBOR RD,,,
20064000,OAKDALE AVE,BALDWIN CT,,,
20065000,OAKDALE AVE,GRIFFITH ST,,,
20066000,NAVY RD,GRIFFITH ST,LA SALLE AVE,,
20067000,REVERE AVE,GRIFFITH ST,,,
20070000,THOMAS AVE,GRIFFITH ST,,,
20072000,PALOU AVE,CRISP RD,,,
20073000,PALOU AVE,GRIFFITH ST,,,
20074000,QUESADA AVE,CRISP RD,,,
20075000,QUESADA AVE,GRIFFITH ST,,,
20076000,REVERE AVE,CRISP RD,,,
20077000,KISKA RD,INGALLS ST,,,
20078000,ROSIE LEE LN,INGALLS ST,NORTHRIDGE RD,,
20081000,INGALLS ST,BEATRICE LN,,,
20082000,ESPANOLA ST,BEATRICE LN,,,
20083000,MATTHEW CT,ESPANOLA ST,,,
20084000,ROSIE LEE LN,ESPANOLA ST,,,
20085000,INGALLS ST,HUDSON AVE,,,
20086000,HARBOR RD,BERTHA LN,,,
20087000,HUDSON AVE,BERTHA LN,,,
20089000,LILLIAN ST,BEATRICE LN,,,
20090000,ROSIE LEE LN,LILLIAN ST,,,
20092000,EGBERT AVE,ARELIOUS WALKER DR,,,
20093000,GRIFFITH ST,CARROLL AVE,,,
20096000,GRIFFITH ST,GILMAN AVE,,,
20097000,GILMAN AVE,GIANTS DR,,,
20101000,INGERSON AVE,GILROY ST,,,
20102000,INGERSON AVE,CORONADO ST,,,
20103000,INGERSON AVE,GRIFFITH ST,,,
20107000,HAWES ST,FITZGERALD AVE,,,
20110000,HAWES ST,CARROLL AVE,,,
20111000,HAWES ST,DONNER AVE,,,
20112000,HAWES ST,ARMSTRONG AVE,,,
20113000,INGALLS ST,ARMSTRONG AVE,,,
20114000,INGALLS ST,BANCROFT AVE,,,
20116000,SHAFTER AVE,GRIFFITH ST,,,
20117000,QUESADA AVE,HAWES ST,,,
20118000,PALOU AVE,HAWES ST,,,
20119000,SHAFTER AVE,HAWES ST,,,
20120000,REVERE AVE,HAWES ST,,,
20121000,THOMAS AVE,HAWES ST,,,
20122000,VAN DYKE AVE,HAWES ST,,,
20123000,UNDERWOOD AVE,HAWES ST,,,
20124000,SHAFTER AVE,INGALLS ST,,,
20125000,REVERE AVE,INGALLS ST,,,
20126000,LA SALLE AVE,INGALLS ST,,,
20127000,INGALLS ST,GEORGE CT,,,
20128000,WHITFIELD CT,LA SALLE AVE,,,
20131000,OAKDALE AVE,INGALLS ST,,,
20132000,OSCEOLA LN,LA SALLE AVE,,,
20135000,QUESADA AVE,INGALLS ST,,,
20136000,PALOU AVE,INGALLS ST,,,
20137000,LA SALLE AVE,GARLINGTON CT,,,
20138000,GARLINGTON CT,COMMER CT,,,
20140000,PALOU AVE,JENNINGS ST,,,
20142000,WALLACE AVE,INGALLS ST,,,
20144000,VAN DYKE AVE,INGALLS ST,,,
20145000,UNDERWOOD AVE,INGALLS ST,,,
20146000,THOMAS AVE,INGALLS ST,,,
20148000,YOSEMITE AVE,INGALLS ST,,,
20149000,UNDERWOOD AVE,JENNINGS ST,,,
20150000,THOMAS AVE,JENNINGS ST,,,
20151000,VAN DYKE AVE,JENNINGS ST,,,
20152000,WALLACE AVE,JENNINGS ST,,,
20153000,QUESADA AVE,JENNINGS ST,,,
20154000,REVERE AVE,JENNINGS ST,,,
20155000,SHAFTER AVE,JENNINGS ST,,,
20156000,OAKDALE AVE,KEITH ST,,,
20157000,PALOU AVE,KEITH ST,,,
20158000,SHAFTER AVE,KEITH ST,,,
20159000,REVERE AVE,KEITH ST,,,
20160000,THOMAS AVE,KEITH ST,,,
20161000,QUESADA AVE,KEITH ST,,,
20162000,INNES AVE,HAWES ST,,,
20163000,INNES AVE,GRIFFITH ST,,,
20164000,HUNTERS POINT BLVD,HAWES ST,HUDSON AVE,,
20168000,MIDDLE POINT RD,HARE ST,,,
20170000,MIDDLE POINT RD,FAIRFAX AVE,,,
20172000,MIDDLE POINT RD,CATALINA ST,,,
20175000,MIDDLE POINT RD,INGALLS ST,INNES AVE,,
20177000,MIDDLE POINT RD,EVANS AVE,JENNINGS ST,,
20178000,NEWHALL ST,JENNINGS ST,,,
20180000,MIDDLE POINT RD,ACACIA AVE,,,
20181000,KEITH ST,EVANS AVE,,,
20182000,KEITH ST,FAIRFAX AVE,,,
20185000,HUDSON AVE,ARDATH CT,HAWKINS LN,,
20188000,WHITNEY YOUNG CIR,HUDSON AVE,,,
20189000,WESTBROOK CT,HUDSON AVE,,,
20191000,HUDSON AVE,CASHMERE ST,,,
20193000,REUEL CT,HUDSON AVE,,,
20196000,NEWCOMB AVE,LA SALLE AVE,,,
20197000,NEWCOMB AVE,KEITH ST,,,
20198000,LA SALLE AVE,CASHMERE ST,,,
20200000,WHITNEY YOUNG CIR,CASHMERE ST,DEDMAN CT,,
20201000,KEITH ST,HUDSON AVE,,,
20203000,MENDELL ST,EVANS AVE,,,
20204000,MENDELL ST,FAIRFAX AVE,,,
20205000,MCKINNON AVE,LANE ST,,,
20207000,DUKES CT,CASHMERE ST,,,
20208000,NEWCOMB AVE,LANE ST,,,
20209000,OAKDALE AVE,LANE ST,,,
20210000,PALOU AVE,LANE ST,,,
20211000,MENDELL ST,LA SALLE AVE,,,
20212000,MENDELL ST,MCKINNON AVE,,,
20213000,MCKINNON AVE,3RD ST,,,
20215000,MENDELL ST,HUDSON AVE,,,
20216000,MENDELL ST,INNES AVE,,,
20218000,MENDELL ST,JERROLD AVE,,,
20219000,NEWHALL ST,3RD ST,JERROLD AVE,,
20220000,MENDELL ST,GALVEZ AVE,,,
20222000,MENDELL ST,KIRKWOOD AVE,,,
20223000,KIRKWOOD AVE,3RD ST,,,
20224000,LA SALLE AVE,3RD ST,,,
20225000,NEWHALL ST,GALVEZ AVE,,,
20226000,NEWHALL ST,HUDSON AVE,,,
20227000,HUDSON AVE,3RD ST,,,
20228000,NEWHALL ST,INNES AVE,,,
20229000,INNES AVE,3RD ST,,,
20230000,NEWHALL ST,3RD ST,,,
20231000,SAM JORDANS WAY,3RD ST,GALVEZ AVE,,
20232000,NEWHALL ST,MENDELL ST,,,
20234000,BURKE AVE,3RD ST,,,
20236000,NEWHALL ST,EVANS AVE,,,
20237000,NEWHALL ST,FAIRFAX AVE,,,
20238000,FAIRFAX AVE,3RD ST,,,
20239000,EVANS AVE,3RD ST,,,
20240000,CUSTER AVE,3RD ST,,,
20241000,PHELPS ST,EVANS AVE,,,
20242000,PHELPS ST,FAIRFAX AVE,,,
20243000,SAM JORDANS WAY,PHELPS ST,,,
20244000,DAVIDSON AVE,3RD ST,,,
20245000,PHELPS ST,3RD ST,,,
20246000,PHELPS ST,DAVIDSON AVE,,,
20247000,CARGO WAY,3RD ST,ARTHUR AVE,,
20250000,MARIN ST,3RD ST,,,
20252000,QUINT ST,CUSTER AVE,,,
20257000,THOMAS MELLON DR,ALANA WAY,HARNEY WAY,,
20258000,EXECUTIVE PARK BLVD,ALANA WAY,,,
20259000,JAMESTOWN AVE,HARNEY WAY,,,
20262000,THOMAS MELLON DR,EXECUTIVE PARK BLVD,SANDPIPER COVE WAY,,
20263000,EXECUTIVE PARK BLVD,BLANKEN AVE,,,
20264000,KEY AVE,JENNINGS ST,,,
20267000,LATHROP AVE,GILLETTE AVE,,,
20268000,GILLETTE AVE,BLANKEN AVE,,,
20269000,NIBBI CT,GILLETTE AVE,,,
20271000,NUEVA AVE,BLANKEN AVE,,,
20272000,NUEVA AVE,LATHROP AVE,,,
20273000,TOCOLOMA AVE,LATHROP AVE,,,
20274000,TOCOLOMA AVE,BLANKEN AVE,,,
20281000,PENINSULA AVE,LATHROP AVE,,,
20282000,PENINSULA AVE,BLANKEN AVE,,,
20284000,WHEELER AVE,LATHROP AVE,,,
20285000,WHEELER AVE,BLANKEN AVE,,,
20288000,TUNNEL AVE,LATHROP AVE,,,
20289000,TUNNEL AVE,BLANKEN AVE,,,
20291000,HESTER AVE,BAY SHORE BLVD,,,
20295000,SAN BRUNO AVE,CAMPBELL AVE,,,
20296000,TUNNEL AVE,BAY SHORE BLVD,,,
20298000,SAN BRUNO AVE,ARLETA AVE,BAY SHORE BLVD,,
20299000,BLANKEN AVE,BAY SHORE BLVD,,,
20300000,SAN BRUNO AVE,BEEMAN LN,,,
20301000,WABASH TER,BEEMAN LN,RACINE LN,,
20302000,CAMPBELL AVE,BRUSSELS ST,,,
20303000,WILDE AVE,BRUSSELS ST,,,
20304000,WILDE AVE,ALPHA ST,GOETTINGEN ST,,
20305000,GOETTINGEN ST,CAMPBELL AVE,,,
20306000,SUNNYDALE AVE,BAY SHORE BLVD,,,
20308000,VISITACION AVE,BAY SHORE BLVD,,,
20310000,RAYMOND AVE,ALPHA ST,,,
20313000,LELAND AVE,BAY SHORE BLVD,,,
20314000,LELAND AVE,ALPHA ST,,,
20315000,LELAND AVE,DESMOND ST,,,
20316000,VISITACION AVE,DESMOND ST,,,
20319000,ARLETA AVE,ALPHA ST,,,
20320000,SAN BRUNO AVE,RACINE LN,,,
20321000,WABASH TER,SAN BRUNO AVE,TEDDY AVE,,
20322000,TEDDY AVE,ALPHA ST,,,
20323000,SOMERSET ST,SAN BRUNO AVE,,,
20324000,SOMERSET ST,CAMPBELL AVE,,,
20325000,HOLYOKE ST,CAMPBELL AVE,,,
20328000,TIOGA AVE,ALPHA ST,,,
20329000,CAMPBELL AVE,ALPHA ST,,,
20330000,TUCKER AVE,ALPHA ST,,,
20332000,TUCKER AVE,RUTLAND ST,,,
20333000,RUTLAND ST,CAMPBELL AVE,,,
20334000,TIOGA AVE,RUTLAND ST,,,
20338000,SUNNYDALE AVE,DESMOND ST,,,
20340000,SUNNYDALE AVE,DESMOND ST,,,
20341000,SUNNYDALE AVE,PEABODY ST,,,
20342000,TALBERT ST,SUNNYDALE AVE,,,
20344000,VISITACION AVE,PEABODY ST,,,
20345000,VISITACION AVE,TALBERT ST,,,
20347000,PEABODY ST,LELAND AVE,,,
20348000,VISITACION AVE,CORA ST,,,
20349000,VISITACION AVE,RUTLAND ST,,,
20352000,SUNNYDALE AVE,RUTLAND ST,,,
20353000,TOMASO CT,CORA ST,SUNNYDALE AVE,,
20355000,LELAND AVE,CORA ST,,,
20356000,RUTLAND ST,LELAND AVE,,,
20357000,RUTLAND ST,RAYMOND AVE,,,
20358000,RUTLAND ST,ARLETA AVE,,,
20359000,RAYMOND AVE,DELTA ST,,,
20360000,TEDDY AVE,DELTA ST,,,
20361000,TEDDY AVE,RUTLAND ST,,,
20362000,VISITACION AVE,DELTA ST,,,
20363000,LELAND AVE,DELTA ST,,,
20364000,DELTA ST,ARLETA AVE,,,
20365000,DELTA ST,CAMPBELL AVE,,,
20366000,SUNNYDALE AVE,DELTA ST,MELRA CT,,
20368000,GARRISON AVE,GARRISON AVE,,,
20369000,SCHWERIN ST,GARRISON AVE,,,
20370000,SUNNYDALE AVE,REY ST,,,
20371000,SUNNYDALE AVE,SCHWERIN ST,,,
20372000,VISITACION AVE,SCHWERIN ST,,,
20373000,VELASCO AVE,ACACIA ST,KELLOCH AVE,,
20375000,SCHWERIN ST,KELLOCH AVE,,,
20376000,GARRISON AVE,ARGONAUT AVE,,,
20377000,SUNNYDALE AVE,GARRISON AVE,,,
20378000,VISITACION AVE,REY ST,,,
20379000,MCCARTHY AVE,ARGONAUT AVE,,,
20380000,SCHWERIN ST,LELAND AVE,,,
20381000,VISITACION AVE,BRITTON ST,,,
20382000,REY ST,LELAND AVE,,,
20383000,LELAND AVE,ELLIOT ST,,,
20384000,LELAND AVE,BRITTON ST,,,
20385000,RAYMOND AVE,ELLIOT ST,,,
20386000,ELLIOT ST,ARLETA AVE,,,
20387000,TEDDY AVE,ELLIOT ST,,,
20390000,VISITACION AVE,LOEHR ST,,,
20392000,LOEHR ST,LELAND AVE,,,
20393000,LELAND AVE,HAHN ST,,,
20394000,SAWYER ST,LELAND AVE,,,
20395000,SAWYER ST,RAYMOND AVE,,,
20400000,VELASCO AVE,ARGONAUT AVE,,,
20401000,ARGONAUT AVE,ARGONAUT AVE,,,
20402000,VELASCO AVE,CALGARY ST,SAWYER ST,,
20403000,VELASCO AVE,RIO VERDE ST,,,
20404000,SUNRISE WAY,SAWYER ST,,,
20405000,BURR AVE,ARGONAUT AVE,,,
20406000,SUNRISE WAY,HAHN ST,,,
20407000,SUNNYDALE AVE,SAWYER ST,,,
20408000,MCCARTHY AVE,BURR AVE,,,
20409000,SUNNYDALE AVE,HAHN ST,MRS. JACKSON WAY,,
20410000,VISITACION AVE,SAWYER ST,,,
20411000,VELASCO AVE,PUEBLO ST,,,
20412000,VELASCO AVE,CASTILLO ST,,,
20413000,VELASCO AVE,PASADENA ST,,,
20414000,HAHN ST,BLYTHDALE AVE,,,
20416000,VISITACION AVE,HAHN ST,MRS. JACKSON WAY,,
20421000,SANTOS ST,GENEVA AVE,,,
20422000,GENEVA AVE,CARRIZAL ST,,,
20423000,SANTOS ST,BLYTHDALE AVE,,,
20424000,VELASCO AVE,CARRIZAL ST,,,
20425000,VELASCO AVE,SANTOS ST,,,
20426000,PARQUE DR,CARRIZAL ST,,,
20427000,GENEVA AVE,ESQUINA DR,,,
20428000,GENEVA AVE,CIELITO DR,,,
20429000,PARQUE DR,ESQUINA DR,,,
20430000,PARQUE DR,CIELITO DR,,,
20431000,BROOKDALE AVE,BLYTHDALE AVE,,,
20432000,SANTOS ST,BROOKDALE AVE,,,
20433000,SUNNYDALE AVE,SANTOS ST,,,
20434000,JAMESTOWN AVE,CORONADO ST,,,
20435000,JAMESTOWN AVE,GRIFFITH ST,,,
20436000,HOLLISTER AVE,HAWES ST,,,
20438000,HAWES ST,GILMAN AVE,,,
20439000,INGERSON AVE,HAWES ST,,,
20441000,INGERSON AVE,INGALLS ST,,,
20442000,REDONDO ST,INGERSON AVE,,,
20443000,INGALLS ST,GILMAN AVE,,,
20444000,INGALLS ST,HOLLISTER AVE,,,
20445000,REDONDO ST,JAMESTOWN AVE,,,
20446000,JAMESTOWN AVE,INGALLS ST,,,
20447000,INGALLS ST,EGBERT AVE,,,
20448000,INGALLS ST,FITZGERALD AVE,,,
20449000,INGALLS ST,DONNER AVE,,,
20450000,INGALLS ST,CARROLL AVE,,,
20451000,JENNINGS ST,BANCROFT AVE,,,
20452000,JENNINGS ST,CARROLL AVE,,,
20453000,JENNINGS ST,EGBERT AVE,,,
20454000,JENNINGS ST,FITZGERALD AVE,,,
20455000,FITZGERALD AVE,3RD ST,,,
20456000,JENNINGS ST,DONNER AVE,,,
20457000,EGBERT AVE,3RD ST,,,
20458000,JENNINGS ST,INGERSON AVE,,,
20459000,JENNINGS ST,JAMESTOWN AVE,,,
20460000,JAMESTOWN AVE,3RD ST,HWY 101 S ON RAMP,,
20461000,LE CONTE AVE,JENNINGS ST,,,
20463000,MEADE AVE,JENNINGS CT,JENNINGS ST,,
20465000,MEADE AVE,3RD ST,BAY SHORE BLVD,HWY 101 N OFF RAMP,
20466000,KEY AVE,3RD ST,,,
20467000,LE CONTE AVE,3RD ST,,,
20469000,JENNINGS ST,GILMAN AVE,,,
20470000,JENNINGS ST,HOLLISTER AVE,,,
20471000,HOLLISTER AVE,3RD ST,,,
20472000,PAUL AVE,3RD ST,GILMAN AVE,,
20473000,INGERSON AVE,3RD ST,,,
20475000,SALINAS AVE,3RD ST,,,
20476000,SALINAS AVE,CARR ST,,,
20477000,KEITH ST,JAMESTOWN AVE,,,
20478000,PAUL AVE,CARR ST,,,
20479000,PAUL AVE,GOULD ST,,,
20480000,PAUL AVE,EXETER ST,,,
20481000,JENNINGS ST,ARMSTRONG AVE,,,
20482000,YOSEMITE AVE,JENNINGS ST,,,
20483000,VAN DYKE AVE,KEITH ST,,,
20484000,UNDERWOOD AVE,KEITH ST,,,
20485000,WALLACE AVE,3RD ST,LANE ST,,
20486000,WALLACE AVE,KEITH ST,,,
20487000,KEITH ST,BANCROFT AVE,,,
20488000,KEITH ST,CARROLL AVE,,,
20489000,CARROLL AVE,3RD ST,,,
20490000,KEITH ST,ARMSTRONG AVE,,,
20491000,YOSEMITE AVE,3RD ST,,,
20492000,YOSEMITE AVE,KEITH ST,,,
20493000,ARMSTRONG AVE,3RD ST,,,
20494000,YOSEMITE AVE,LANE ST,,,
20495000,LANE ST,ARMSTRONG AVE,,,
20496000,QUESADA AVE,3RD ST,,,
20497000,QUESADA AVE,LANE ST,,,
20498000,REVERE AVE,3RD ST,BAY VIEW ST,,
20499000,REVERE AVE,LANE ST,,,
20500000,SHAFTER AVE,3RD ST,,,
20501000,SHAFTER AVE,LANE ST,,,
20502000,THOMAS AVE,3RD ST,,,
20503000,THOMAS AVE,LANE ST,,,
20504000,WILLIAMS AVE,3RD ST,VAN DYKE AVE,,
20505000,VAN DYKE AVE,LANE ST,,,
20506000,UNDERWOOD AVE,LANE ST,,,
20507000,UNDERWOOD AVE,3RD ST,,,
20508000,THORNTON AVE,3RD ST,,,
20510000,WILLIAMS AVE,CERES ST,,,
20511000,WILLIAMS AVE,LUCY ST,,,
20512000,THORNTON AVE,LUCY ST,,,
20513000,THORNTON AVE,LATONA ST,,,
20514000,LATONA ST,BAY VIEW ST,,,
20515000,DONNER AVE,3RD ST,,,
20517000,BANCROFT AVE,3RD ST,,,
20520000,MENDELL ST,ARMSTRONG AVE,,,
20521000,MENDELL ST,BANCROFT AVE,,,
20522000,THORNTON AVE,CERES ST,,,
20523000,YOSEMITE AVE,MENDELL ST,,,
20524000,WILLIAMS AVE,MENDELL ST,,,
20525000,WILLIAMS AVE,REDDY ST,,,
20526000,THORNTON AVE,REDDY ST,,,
20527000,THORNTON AVE,POMONA ST,,,
20528000,POMONA ST,BAY VIEW ST,,,
20529000,THORNTON AVE,FLORA ST,,,
20530000,FLORA ST,BAY VIEW ST,,,
20531000,TOPEKA AVE,THORNTON AVE,,,
20532000,VENUS ST,NEWHALL ST,TOPEKA AVE,,
20533000,TOPEKA AVE,APOLLO ST,,,
20534000,NEWHALL ST,BAY VIEW ST,BAYVIEW CIR,,
20535000,WILLIAMS AVE,DIANA ST,SHOUP AVE,,
20537000,WILLIAMS AVE,NEPTUNE ST,,,
20538000,THORNTON AVE,NEPTUNE ST,,,
20539000,WILLIAMS AVE,NEWHALL ST,,,
20540000,NEWHALL ST,CARROLL AVE,ISSLEIB AVE,,
20541000,VENUS ST,THORNTON AVE,,,
20542000,THORNTON AVE,APOLLO ST,,,
20544000,BAY SHORE BLVD,3RD ST,,,
20546000,SAN BRUNO AVE,3RD ST,GIRARD ST,,
20548000,LE CONTE AVE,KEITH ST,,,
20550000,LANE ST,BAY SHORE BLVD,KEY AVE,,
20552000,GIRARD ST,FRATESSA CT,,,
20554000,WILDE AVE,GIRARD ST,,,
20555000,WILDE AVE,SAN BRUNO AVE,,,
20556000,SAN BRUNO AVE,HARKNESS AVE,,,
20557000,HARKNESS AVE,GIRARD ST,,,
20558000,HARKNESS AVE,BRUSSELS ST,,,
20559000,WARD ST,GIRARD ST,,,
20560000,WARD ST,BRUSSELS ST,,,
20561000,WARD ST,SAN BRUNO AVE,,,
20562000,SAN BRUNO AVE,ORDWAY ST,,,
20563000,ORDWAY ST,GIRARD ST,,,
20564000,SALINAS AVE,GOULD ST,,,
20565000,SALINAS AVE,JAMESTOWN AVE,,,
20566000,SALINAS AVE,EXETER ST,,,
20568000,PAUL AVE,CRANE ST,,,
20569000,SALINAS AVE,BAY SHORE BLVD,CRANE ST,HWY 101 S ON RAMP,
20570000,WHEAT ST,BAY SHORE BLVD,,,
20571000,ORDWAY ST,BRUSSELS ST,,,
20572000,MANSELL ST,GIRARD ST,,,
20573000,SAN BRUNO AVE,MANSELL ST,SALINAS AVE,,
20574000,PAUL AVE,BAY SHORE BLVD,,,
20575000,WHEAT ST,PAUL AVE,,,
20576000,SAN BRUNO AVE,OLMSTEAD ST,,,
20577000,OLMSTEAD ST,GIRARD ST,,,
20578000,SAN BRUNO AVE,PAUL AVE,,,
20579000,WILDE AVE,GOETTINGEN ST,,,
20580000,HARKNESS AVE,GOETTINGEN ST,,,
20581000,WARD ST,GOETTINGEN ST,,,
20582000,WARD ST,ANKENY ST,SPARTA ST,,
20583000,SPARTA ST,HARKNESS AVE,,,
20584000,HARKNESS AVE,BISHOP ST,,,
20585000,MANSELL ST,BRUSSELS ST,,,
20586000,ORDWAY ST,GOETTINGEN ST,,,
20587000,BISHOP ST,ANKENY ST,,,
20588000,SOMERSET ST,ORDWAY ST,,,
20589000,MANSELL ST,GOETTINGEN ST,,,
20590000,TIOGA AVE,DELTA ST,,,
20591000,WILDE AVE,RUTLAND ST,,,
20592000,RUTLAND ST,HARKNESS AVE,,,
20593000,HARKNESS AVE,ALDER ST,,,
20594000,ORDWAY ST,ALDER ST,ANKENY ST,,
20596000,SOMERSET ST,MANSELL ST,,,
20597000,MILL ST,ANKENY ST,,,
20598000,OLMSTEAD ST,BRUSSELS ST,,,
20599000,GIRARD ST,DWIGHT ST,,,
20600000,SAN BRUNO AVE,DWIGHT ST,,,
20601000,DWIGHT ST,BRUSSELS ST,,,
20602000,OLMSTEAD ST,GOETTINGEN ST,,,
20603000,MANSELL ST,HOLYOKE ST,,,
20604000,WOOLSEY ST,BRUSSELS ST,,,
20606000,GOETTINGEN ST,DWIGHT ST,,,
20608000,NEWHALL ST,EGBERT AVE,,,
20609000,PHELPS ST,EGBERT AVE,,,
20610000,FITZGERALD AVE,BAY SHORE BLVD,,,
20612000,WILLIAMS AVE,APOLLO ST,,,
20613000,WILLIAMS AVE,VENUS ST,,,
20614000,THORNTON AVE,BRIDGEVIEW DR,SCOTIA AVE,,
20615000,TOPEKA AVE,BRIDGEVIEW DR,,,
20617000,PHELPS ST,BANCROFT AVE,,,
20618000,PHELPS ST,CARROLL AVE,,,
20619000,WILLIAMS AVE,PHELPS ST,VESTA ST,,
20620000,VESTA ST,LEDYARD ST,THORNTON AVE,,
20621000,PHELPS ST,DONNER AVE,,,
20622000,DONNER AVE,BAY SHORE BLVD,,,
20623000,SCOTIA AVE,MADDUX AVE,,,
20624000,TOPEKA AVE,MADDUX AVE,,,
20625000,MERCURY ST,LEDYARD ST,,,
20626000,THORNTON AVE,MERCURY ST,,,
20628000,THORNTON AVE,MERCURY ST,,,
20631000,WOOLSEY ST,GIRARD ST,,,
20633000,WAYLAND ST,GIRARD ST,,,
20637000,WAYLAND ST,BRUSSELS ST,,,
20638000,GIRARD ST,BACON ST,,,
20639000,WOOLSEY ST,GOETTINGEN ST,,,
20640000,WAYLAND ST,GOETTINGEN ST,,,
20641000,BRUSSELS ST,BACON ST,,,
20642000,QUINT ST,BAY SHORE BLVD,,,
20643000,QUINT ST,CARROLL AVE,,,
20644000,QUINT ST,BANCROFT AVE,,,
20645000,THORNTON AVE,BAY SHORE BLVD,CARROLL AVE,,
20646000,THORNTON AVE,ELMIRA ST,,,
20647000,WATERVILLE ST,QUINT ST,THORNTON AVE,,
20650000,SAN BRUNO AVE,BURROWS ST,,,
20651000,SILLIMAN ST,HWY 101 S OFF RAMP,HWY 101 S ON RAMP,SAN BRUNO AVE,
20652000,GIRARD ST,BURROWS ST,,,
20653000,BURROWS ST,BRUSSELS ST,,,
20654000,GIRARD ST,FELTON ST,,,
20655000,FELTON ST,BRUSSELS ST,,,
20656000,SILVER AVE,BAY SHORE BLVD,,,
20657000,PERRY ST,3RD ST,,,
20659000,OAKDALE AVE,3RD ST,,,
20660000,NEWCOMB AVE,3RD ST,,,
20661000,NEWCOMB AVE,MENDELL ST,,,
20662000,OAKDALE AVE,MENDELL ST,,,
20663000,QUESADA AVE,NEWHALL ST,,,
20664000,PALOU AVE,NEWHALL ST,,,
20665000,NEWHALL ST,MCKINNON AVE,,,
20666000,NEWHALL ST,NEWCOMB AVE,,,
20667000,OAKDALE AVE,NEWHALL ST,,,
20668000,NEWHALL ST,KIRKWOOD AVE,,,
20669000,NEWHALL ST,LA SALLE AVE,,,
20670000,PHELPS ST,HUDSON AVE,,,
20671000,PHELPS ST,INNES AVE,,,
20672000,PHELPS ST,JERROLD AVE,,,
20673000,PHELPS ST,MCKINNON AVE,,,
20674000,PHELPS ST,NEWCOMB AVE,,,
20675000,PHELPS ST,LA SALLE AVE,,,
20676000,PHELPS ST,KIRKWOOD AVE,,,
20677000,REVERE AVE,BRIDGEVIEW DR,NEWHALL ST,,
20679000,PHELPS ST,OAKDALE AVE,,,
20680000,PHELPS ST,PALOU AVE,,,
20681000,PALOU AVE,DUNSHEE ST,,,
20682000,REVERE AVE,QUINT ST,,,
20683000,QUINT ST,QUESADA AVE,,,
20684000,OAKDALE AVE,DUNSHEE ST,,,
20686000,DUNSHEE ST,DRUMMOND ALY,,,
20687000,QUINT ST,JERROLD AVE,,,
20688000,QUINT ST,NEWCOMB AVE,,,
20690000,QUINT ST,DRUMMOND ALY,,,
20691000,SILVER AVE,PALOU AVE,QUINT ST,,
20692000,QUINT ST,OAKDALE AVE,,,
20694000,SILVER AVE,QUESADA AVE,,,
20695000,RANKIN ST,NEWCOMB AVE,,,
20696000,QUINT ST,DAVIDSON AVE,,,
20697000,QUINT ST,EVANS AVE,,,
20700000,RANKIN ST,EVANS AVE,,,
20703000,RANKIN ST,CUSTER AVE,,,
20704000,RANKIN ST,DAVIDSON AVE,,,
20707000,RANKIN ST,ISLAIS ST,,,
20708000,INDIANA ST,CESAR CHAVEZ ST,,,
20712000,MARIN ST,EVANS AVE,,,
20716000,JERROLD AVE,JERROLD AVE,,,
20717000,RANKIN ST,KIRKWOOD AVE,,,
20723000,SELBY ST,JERROLD AVE,,,
20724000,SELBY ST,KIRKWOOD AVE,,,
20725000,TOLAND ST,EVANS AVE,NAPOLEON ST,,
20726000,TOLAND ST,GALVEZ AVE,,,
20727000,TOLAND ST,HUDSON AVE,,,
20730000,EVANS AVE,CESAR CHAVEZ ST,,,
20731000,THOMAS AVE,MADDUX AVE,,,
20732000,QUINT ST,MADDUX AVE,,,
20733000,TOPEKA AVE,QUINT ST,,,
20734000,ROBBLEE AVE,REVERE AVE,,,
20735000,THOMAS AVE,QUINT ST,,,
20736000,SCOTIA AVE,QUINT ST,,,
20737000,SILVER AVE,AUGUSTA ST,SCOTIA AVE,,
20738000,SANTA FE AVE,QUINT ST,,,
20739000,SILVER AVE,LEDYARD ST,,,
20740000,THOMAS AVE,ROBBLEE AVE,,,
20741000,THOMAS AVE,SILVER AVE,,,
20742000,SILVER AVE,REVERE AVE,,,
20743000,TOPEKA AVE,SILVER AVE,,,
20744000,SILVER AVE,SANTA FE AVE,,,
20745000,SILVER AVE,CONKLING ST,,,
20747000,REVERE AVE,RANKIN ST,,,
20748000,RANKIN ST,OAKDALE AVE,,,
20749000,RANKIN ST,PALOU AVE,,,
20751000,RANKIN ST,QUESADA AVE,,,
20753000,REVERE AVE,INDUSTRIAL ST,,,
20754000,SELBY ST,PALOU AVE,,,
20755000,PALOU AVE,INDUSTRIAL ST,,,
20756000,SELBY ST,QUESADA AVE,,,
20757000,QUESADA AVE,INDUSTRIAL ST,,,
20758000,SELBY ST,INDUSTRIAL ST,OAKDALE AVE,,
