CNN,street1,street2,street3,street4
26033000,BUENA VISTA AVE EAST,BAKER ST,BUENA VISTA AVE,
3362000,BUENA VISTA AVE EAST,BAKER ST,BUENA VISTA AVE,
3364000,BUENA VISTA AVE EAST,BUENA VISTA AVE,BUENA VISTA TER,
26021000,DUBOCE AVE,BUENA VISTA AVE,BUENA VISTA TER,
26021000,BUENA VISTA AVE EAST,BUENA VISTA AVE,BUENA VISTA TER,
30731000,MARKET ST,01ST ST,BUSH ST,
8742201,MARKET ST,01ST ST,BUSH ST,
8742101,MARKET ST,01ST ST,BUSH ST,
10923000,RANDOLPH ST,19TH AVE,BYXBEE ST,
22543000,RANDOLPH ST,19TH AVE,BYXBEE ST,
27593000,CORNWALL ST,07TH AVE,CALIFORNIA ST,
20247000,03RD ST,ARTHUR AVE,CARGO WAY,
198201,03RD ST,ARTHUR AVE,CARGO WAY,
2505000,ARTHUR AVE,03RD ST,CARGO WAY,
198101,03RD ST,ARTHUR AVE,CARGO WAY,
20247000,ARTHUR AVE,03RD ST,CARGO WAY,
23738000,JACK BALESTRERI WAY,20TH ST,CAROLINA ST,
23848000,15TH ST,08TH ST,CAROLINA ST,
419000,08TH ST,15TH ST,CAROLINA ST,
633000,15TH ST,08TH ST,CAROLINA ST,
23848000,08TH ST,15TH ST,CAROLINA ST,
20645000,THORNTON AVE,BAY SHORE BLVD,CARROLL AVE,
3892000,CHAPMAN ST,BERNAL HEIGHTS BLVD,CARVER ST,
21102000,CHAPMAN ST,BERNAL HEIGHTS BLVD,CARVER ST,
26799000,MARINA BLVD,AVILA ST,CASA WAY,
8705201,MARINA BLVD,AVILA ST,CASA WAY,
8705101,MARINA BLVD,AVILA ST,CASA WAY,
26181000,MONO ST,19TH ST,CASELLI AVE,
32989000,CRESTA VISTA DR,BAXTER ALY,CASITAS AVE,
4508000,CRESTA VISTA DR,BAXTER ALY,CASITAS AVE,
23017000,UNNAMED 088,CAMBON DR,CASTELO AVE,
22017000,NEWBURG ST,27TH ST,CASTRO ST,
25814000,MARKET ST,17TH ST,CASTRO ST,
8768201,MARKET ST,17TH ST,CASTRO ST,
8768101,MARKET ST,17TH ST,CASTRO ST,
22004000,DAY ST,29TH ST,CASTRO ST,
21937000,SUSSEX ST,BEMIS ST,CASTRO ST,
12305000,SUSSEX ST,BEMIS ST,CASTRO ST,
9547000,NEWBURG ST,27TH ST,CASTRO ST,
3370000,BUENA VISTA AVE WEST,BUENA VISTA AVE,CENTRAL AVE,
26320000,BUENA VISTA AVE WEST,BUENA VISTA AVE,CENTRAL AVE,
26764000,FILLMORE ST,BAY ST,CERVANTES BLVD,
5569201,FILLMORE ST,BAY ST,CERVANTES BLVD,
26980000,MALLORCA WAY,BEACH ST,CERVANTES BLVD,
5569101,FILLMORE ST,BAY ST,CERVANTES BLVD,
23949000,POTRERO AVE,25TH ST,CESAR CHAVEZ ON RAMP,
10674101,POTRERO AVE,25TH ST,CESAR CHAVEZ ON RAMP,
10674201,POTRERO AVE,25TH ST,CESAR CHAVEZ ON RAMP,
33287000,HAMPSHIRE ST,CESAR CHAVEZ ON RAMP,CESAR CHAVEZ ST,
9129000,MISSION ST,CAPP ST,CESAR CHAVEZ ST,
21304000,MISSION ST,CAPP ST,CESAR CHAVEZ ST,
6660000,HAMPSHIRE ST,CESAR CHAVEZ ON RAMP,CESAR CHAVEZ ST,
33729000,VERMONT ST,BAY SHORE BLVD,CESAR CHAVEZ ST,
52254000,HWY 101 S OFF RAMP,ANDREW ST,CESAR CHAVEZ ST,
8379201,LINCOLN WAY,41ST AVE,CHAIN OF LAKES DR,
5950000,FULTON ST,43RD AVE,CHAIN OF LAKES DR,
27804000,LINCOLN WAY,41ST AVE,CHAIN OF LAKES DR,
8379101,LINCOLN WAY,41ST AVE,CHAIN OF LAKES DR,
27881000,FULTON ST,43RD AVE,CHAIN OF LAKES DR,
21102000,BERNAL HEIGHTS BLVD,CARVER ST,CHAPMAN ST,
21102000,CARVER ST,BERNAL HEIGHTS BLVD,CHAPMAN ST,
2946000,BERNAL HEIGHTS BLVD,CARVER ST,CHAPMAN ST,
3749000,CARVER ST,BERNAL HEIGHTS BLVD,CHAPMAN ST,
8751101,MARKET ST,07TH ST,CHARLES J BRENHAM PL,
8751201,MARKET ST,07TH ST,CHARLES J BRENHAM PL,
30742000,MARKET ST,07TH ST,CHARLES J BRENHAM PL,
21935000,UNNAMED 026,CARRIE ST,CHENERY ST,
22554000,THOMAS MORE WAY,BROTHERHOOD WAY,CHUMASERO DR,
12583000,THOMAS MORE WAY,BROTHERHOOD WAY,CHUMASERO DR,
